_1,_2
"Ogden, UT",1.9344584272853786
"Hoolehua, HI",1.9329926239411146
"Traverse City, MI",1.9327487272556978
"Deer Harbor, WA",1.9251877506699078
"Newburgh/Poughkeepsie, NY",1.9144236603094942
"Kenmore, WA",1.9099531770055116
"San Luis Obispo, CA",1.8849086803032984
"Wilmington, OH",1.881159594987739
"Brevig Mission, AK",1.8762297053503314
"Lakeland, FL",1.8681142445339218
"Grand Canyon, AZ",1.8582980428154532
"Stockton, CA",1.8418155944140915
"Old Harbor, AK",1.8244146801258172
"Point Lay, AK",1.8234104305086827
"Moline, IL",1.8183367033053592
"Flint, MI",1.8066513870151268
"Trenton, NJ",1.7752893905402953
"Egegik, AK",1.7716344409405749
"Mobile, AL",1.7674376566415966
"Akun, AK",1.7657188961849877
"Augusta, GA",1.7657084021689948
"Bangor, ME",1.7553343223586149
"Gainesville, FL",1.7450007064302375
"Corpus Christi, TX",1.7448059971225147
"Coldfoot, AK",1.7435273730077028
"Dora Bay, AK",1.7331912534454679
"Coffman Cove, AK",1.7309146072695358
"Metlakatla, AK",1.7309146072695358
"Port Protection, AK",1.7309146072695358
"Whale Pass, AK",1.7309146072695358
"Melbourne, FL",1.7229928171955546
"Gunnison, CO",1.7130013443330723
"Excursion Inlet, AK",1.7098211417435942
"Bakersfield, CA",1.7058210323432985
"Minot, ND",1.6874298005894928
"Casper, WY",1.659800648804655
"Kasaan, AK",1.6378158407056644
"Chisana, AK",1.6290051755365722
"Van Horn, TX",1.6187999510229756
"Eagle, AK",1.597568372799592
"Meyers Chuck, AK",1.5949402999652411
"Napakiak, AK",1.5948261569338644
"Roche Harbor, WA",1.5908805267819666
"Mammoth Lakes, CA",1.57991127682984
"Lincoln, NE",1.5798137326719348
"Skwentna, AK",1.565182710022634
"Thermal, CA",1.5597844540852266
"Rifle, CO",1.559732918868088
"State College, PA",1.5553237224995677
"Brownsville, TX",1.5495842193588152
"Platinum, AK",1.5482492266048187
"Goodnews Bay, AK",1.527645064367738
"False Pass, AK",1.4958584174211613
"McCarthy, AK",1.4942104698578544
"May Creek, AK",1.4942104698578544
"Tyonek, AK",1.490704807809683
"Hyannis, MA",1.4877184575632418
"Tatalina, AK",1.4859334654087126
"Lake Minchumina, AK",1.4698189138340854
"Concord, NC",1.4574559186028433
"Everett, WA",1.4390957443523802
"Chuathbaluk, AK",1.4385890611188814
"Lanai, HI",1.4310443511263842
"Charlottesville, VA",1.427575399851636
"La Grande, OR",1.4159861907521483
"Columbus, GA",1.409525958791199
"Ashland, WV",1.3994998700616121
"Novato, CA",1.3726159225800891
"King Cove, AK",1.3722068713200988
"Riverside, CA",1.3680756751310312
"Bristol/Johnson City/Kingsport, TN",1.3676013517100059
"Bishop, CA",1.3672370024580958
"Vieques, PR",1.3585309452405443
"Hilo, HI",1.3545606682126148
"St. George, UT",1.3520776238826306
"Yakima, WA",1.3342971140011577
"Kizhuyak, AK",1.329734113081705
"Kiluda Bay, AK",1.329734113081705
"Danger Bay, AK",1.329734113081705
"Eagle Harbor, AK",1.329734113081705
"Onion Bay, AK",1.329734113081705
"Arlington, TX",1.324261471942026
"Trading Bay, AK",1.3203381008492578
"Redding, CA",1.3008595504382348
"Manley Hot Springs, AK",1.2949469958314286
"Champaign/Urbana, IL",1.2891917655100835
"Daytona Beach, FL",1.289087762401978
"Tuscaloosa, AL",1.2874217497317564
"South Naknek, AK",1.2795667006224187
"Red Devil, AK",1.2758197624209604
"Aguadilla, PR",1.270583466306674
"Rampart, AK",1.267402967156415
"Lake Wales, FL",1.263343070188487
"Rochester, MN",1.2456574356744263
"Port Alsworth, AK",1.241152171815069
"Helena, MT",1.2320084625790446
"Eastsound, WA",1.2282602138872403
"Adak Island, AK",1.2259507791844058
"Healy, AK",1.2139399708232563
"Pontiac, MI",1.2102002110910433
"Belleville, IL",1.2072305738217362
"Page, AZ",1.1907332919867712
"Elfin Cove, AK",1.1840128488643642
"Nikolski, AK",1.1772063172634217
"Evansville, IN",1.1643480749953459
"Mekoryuk, AK",1.150230044527856
"Central, AK",1.1348293004366146
"Flagstaff, AZ",1.1270718296189177
"New Bedford/Fall River, MA",1.12654553570716
"Glendale, AZ",1.124391183112385
